,name,github_id,category,labels,cargo_id,cargo_url,cargo_monthly_downloads,monthly_downloads,cargo_total_downloads,description,projectrank,show,projectrank_placing,npm_id,greasy_fork_id,npm_url,greasy_fork_url,trending,homepage,new_addition,gitlab_id,license,pypi_id,pypi_url,go_id,go_url
91,Liliut,Myriad-Dreamin/liliut,misc,['api'],,,,,,Liliut (Lilium-Typst) is a Visual Novel Engine powered by Astro and Typst. Liliut (Lilium-Typst) 是一款基于 Astro 和 Typst..,0,False,,,,,,,,,,,,,,
92,Typst To Tex (ttt),,convert,['runnable'],,,,,,"It compiles a typst document to a latex document doing most of the heavy lifting, and allows you to do the final..",0,False,,,,,,,,,TheZoq2/ttt,,,,,
93,mnemo,lemueldls/mnemo,misc,,,,,,,,0,False,,,,,,,,,,,,,,
94,Bib Kit,MordragT/bib_kit,ref,['extension'],,,,,,,0,False,,,,,,,,,,,,,,
95,Typst Telegram Bot,daskol/typst-telegram-bot,coding,,,,,,,,0,False,,,,,,,,,,,,,,
96,mattfbacon/typst-bot,mattfbacon/typst-bot,coding,,,,,,,,0,False,,,,,,,,,,,,,,
97,gitlab-ci-typst,,coding,,,,,,,,0,False,,,,,,,,,IvanSanchez/gitlab-ci-typst,,,,,
98,lvignoli/typst-action,lvignoli/typst-action,coding,,,,,,,,0,False,,,,,,,,,,,,,,
99,typst-pandoc,lvignoli/typst-pandoc,convert,['extension'],,,,,,,0,False,,,,,,,,,,,,,,
100,textlint-plugin-typst,textlint/textlint-plugin-typst,writing,['extension'],,,,,,,0,False,,textlint-plugin-typst,,https://www.npmjs.com/package/textlint-plugin-typst,,,,,,,,,,
101,typstwriter,Bzero/typstwriter,writing,"['app', 'runnable']",,,,,,,0,False,,,,,,,,,,,typstwriter,https://pypi.org/project/typstwriter,,
102,SapienAI,Academic-ID/sapienAI,misc,"['runnable', 'web']",,,,,,,0,False,,,,,,,,,,,,,,
103,SeniorMars/tree-sitter-typst,SeniorMars/tree-sitter-typst,writing,['extension'],,,,,,,0,False,,,,,,,,,,,,,,
104,uben0/tree-sitter-typst,uben0/tree-sitter-typst,writing,['extension'],,,,,,,0,False,,,,,,,,,,,,,,
105,frozolotl/tree-sitter-typst,frozolotl/tree-sitter-typst,writing,['extension'],,,,,,,0,False,,,,,,,,,,,,,,
106,Typst Sync,OrangeX4/vscode-typst-sync,pkg,['extension'],,,,,,,0,False,,,,,,,,,,,,,,
107,inktyp,herlev/inktyp,mix,"['extension', 'runnable']",,,,,,,0,False,,,,,,,,,,,,,,
108,org-typst-preview.el,remimimimimi/org-typst-preview.el,mix,,,,,,,,0,False,,,,,,,,,,,,,,
109,Typstar,arne314/typstar,writing,['extension'],,,,,,,0,False,,,,,,,,,,,,,,
